IATA	Name	City	Airlines	Destinations
DEL	Indira Gandhi International Airport	New Delhi	59	97
BOM	Chhatrapati Shivaji International Airport	Mumbai	49	83
MAA	Chennai International Airport	Chennai	32	40
BLR	Kempegowda International Airport	Bangalore	28	40
COK	Cochin International Airport	Kochi	24	22
HYD	Rajiv Gandhi International Airport	Hyderabad	20	32
TRV	Trivandrum International Airport	Thiruvananthapuram	19	17
CCU	Netaji Subhash Chandra Bose International Airport	Kolkata	19	37
AMD	Sardar Vallabhbhai Patel International Airport	Ahmedabad	13	18
CCJ	Calicut International Airport	Calicut	11	18
JAI	Jaipur International Airport	Jaipur	10	9
GOI	Dabolim Airport	Vasco da Gama	9	12
LKO	Chaudhary Charan Singh International Airport	Lucknow	9	9
CJB	Coimbatore International Airport	Coimbatore	8	8
TRZ	Tiruchirapally Civil Airport Airport	Tiruchirappally	8	4
PNQ	Pune Airport	Pune	7	12
IXB	Bagdogra Airport	Siliguri	7	5
GAU	Lokpriya Gopinath Bordoloi International Airport	Guwahati	7	12
VTZ	Vishakhapatnam Airport	Visakhapatnam	7	8
ATQ	Sri Guru Ram Dass Jee International Airport	Amritsar	7	6
IXM	Madurai Airport	Madurai	6	3
NAG	Dr. Babasaheb Ambedkar International Airport	Naqpur	6	8
IXC	Chandigarh Airport	Chandigarh	6	3
IXJ	Jammu Airport	Jammu	6	4
SXR	Sheikh ul Alam Airport	Srinagar	6	6
IXE	Mangalore International Airport	Mangalore	5	7
IXZ	Vir Savarkar International Airport	Port Blair	5	3
IDR	Devi Ahilyabai Holkar Airport	Indore	5	7
IXA	Agartala Airport	Agartala	5	3
PAT	Lok Nayak Jayaprakash Airport	Patna	5	4
AMD	Sardar Vallabhbhai Patel International Airport	Ahmedabad	13	18
CCJ	Calicut International Airport	Calicut	11	18
JAI	Jaipur International Airport	Jaipur	10	9
GOI	Dabolim Airport	Vasco da Gama	9	12
LKO	Chaudhary Charan Singh International Airport	Lucknow	9	9
CJB	Coimbatore International Airport	Coimbatore	8	8
TRZ	Tiruchirapally Civil Airport Airport	Tiruchirappally	8	4
PNQ	Pune Airport	Pune	7	12
IXB	Bagdogra Airport	Siliguri	7	5
GAU	Lokpriya Gopinath Bordoloi International Airport	Guwahati	7	12
VTZ	Vishakhapatnam Airport	Visakhapatnam	7	8
ATQ	Sri Guru Ram Dass Jee International Airport	Amritsar	7	6
IXM	Madurai Airport	Madurai	6	3
NAG	Dr. Babasaheb Ambedkar International Airport	Naqpur	6	8
IXC	Chandigarh Airport	Chandigarh	6	3
IXJ	Jammu Airport	Jammu	6	4
SXR	Sheikh ul Alam Airport	Srinagar	6	6
IXE	Mangalore International Airport	Mangalore	5	7
IXZ	Vir Savarkar International Airport	Port Blair	5	3
IDR	Devi Ahilyabai Holkar Airport	Indore	5	7
IXA	Agartala Airport	Agartala	5	3
PAT	Lok Nayak Jayaprakash Airport	Patna	5	4